时间,振动幅值,温度
0.007646,-0.032961,24.882
0.007667,-0.00459,24.92
0.007688,0.010848,24.662
0.007708,0.036299,25.084
0.007729,0.070929,24.702
0.00775,0.08595,25.252
0.007771,0.076353,24.925
0.007792,0.037968,25.015
0.007812,-0.023574,25.148
0.007833,-0.063836,25.193
0.007854,-0.056326,24.529
0.007875,-0.03171,24.938
0.007896,-0.019193,25.264
0.007917,-0.023156,24.491
0.007938,-0.026494,25.116
0.007958,-0.008553,24.323
0.007979,0.041306,24.693
0.008,0.068009,25.012
0.008021,0.046104,24.503
0.008042,0.007719,24.704
0.008062,-0.016689,24.558
0.008083,0.007302,25.494
0.008104,0.043809,25.049
0.008125,0.071346,25.17
0.008146,0.084489,24.933
0.008167,0.070512,24.894
0.008188,0.069469,24.515
0.008208,0.089496,24.912
0.008229,0.104308,24.772
0.00825,0.077396,25.257
0.008271,0.005215,25.342
0.008292,-0.043809,25.44
0.008312,-0.061333,25.256
0.008333,-0.036925,24.82
0.008354,0.00459,24.665
0.008375,0.014603,25.23
0.008396,0.014394,25.107
0.008417,-0.018984,24.469
0.008438,-0.025242,25.107
0.008458,-0.001252,25.244
0.008479,-0.009596,25.018
0.0085,-0.03317,24.944
0.008521,-0.073224,24.758
0.008542,-0.081986,24.566
0.008562,-0.042975,25.24
0.008583,0.0,24.907
0.008604,0.022739,24.93
0.008625,0.009179,25.52
0.008646,-0.027954,25.205
0.008667,-0.05278,25.111
0.008688,-0.041932,25.043
0.008708,-0.011057,25.456
0.008729,-0.009596,25.516
0.00875,-0.023991,25.279
0.008771,-0.013769,25.175
0.008792,0.024825,24.372
0.008812,0.078857,25.037
0.008833,0.101596,24.961
0.008854,0.101178,25.028
0.008875,0.070929,25.283
0.008896,0.024199,24.178
0.008917,0.004381,24.829
0.008938,0.012517,25.081
0.008958,0.042975,24.86
0.008979,0.026286,24.575
0.009,-0.00897,25.261
0.009021,-0.014186,25.083
0.009042,-0.000417,24.709
0.009062,0.020236,25.094
0.009083,0.00146,25.246
0.009104,-0.046521,25.002
0.009125,-0.100135,25.24
0.009146,-0.124126,25.023
0.009167,-0.097423,24.881
0.009188,-0.060081,24.652
0.009208,-0.047773,24.974
0.009229,-0.056743,25.058
0.00925,-0.06634,25.263
0.009271,-0.061542,24.965
0.009292,-0.039428,25.137
0.009312,-0.026286,24.711
0.009333,-0.050068,24.765
0.009354,-0.106811,24.967
0.009375,-0.166475,24.684
0.009396,-0.179826,25.246
0.009417,-0.146239,25.139
0.009438,-0.111818,25.084
0.009458,-0.067174,25.102
0.009479,-0.041306,25.606
0.0095,-0.018358,24.859
0.009521,0.025868,24.34
0.009542,0.054031,25.06
0.009562,0.064045,24.985
0.009583,0.008345,24.845
0.009604,-0.074267,24.706
0.009625,-0.109732,24.868
0.009646,-0.108689,25.054
0.009667,-0.078022,24.849
0.009688,-0.040889,25.724
0.009708,-0.00459,24.712
0.009729,0.03317,24.762
0.00975,0.069469,24.313
0.009771,0.094711,25.075
0.009792,0.094086,24.395
0.009812,0.068634,24.838
0.009833,0.013351,24.917
0.009854,-0.026494,24.787
0.009875,-0.014394,25.522
0.009896,0.021696,25.298
0.009917,0.065297,25.396
0.009938,0.083446,24.735
0.009958,0.094711,25.339
0.009979,0.107646,25.149
0.01,0.112861,25.231
0.010021,0.129759,25.309
0.010042,0.110358,24.727
0.010062,0.063628,24.873
0.010083,0.0121,25.259
0.010104,-0.010431,24.203
0.010125,0.02107,25.454
0.010146,0.056952,25.166
0.010167,0.099092,24.986
0.010188,0.132054,25.066
0.010208,0.158756,24.691
0.010229,0.192135,24.895
0.01025,0.184416,25.33
0.010271,0.152081,25.389
0.010292,0.089287,25.809
0.010312,0.004798,24.978
0.010333,-0.037134,24.802
0.010354,-0.041723,24.846
0.010375,-0.003546,24.695
0.010396,0.04214,24.977
0.010417,0.063628,25.115
0.010438,0.074684,24.99
0.010458,0.089287,25.329
0.010479,0.118911,24.93
0.0105,0.110566,24.896
0.010521,0.065714,24.826
0.010542,0.00459,24.51
0.010562,-0.054449,24.53
0.010583,-0.066966,24.646
0.010604,-0.048607,25.39
0.010625,-0.002295,25.269
0.010646,0.049233,25.412
0.010667,0.077396,24.6
0.010688,0.096589,24.409
0.010708,0.098258,24.802
0.010729,0.083863,25.053
0.01075,0.03609,25.15
0.010771,-0.037759,25.314
0.010792,-0.093877,25.085
0.010812,-0.117659,25.523
0.010833,-0.089496,24.933
0.010854,-0.025868,24.726
0.010875,0.048399,24.496
0.010896,0.112235,24.733
0.010917,0.144988,25.073
0.010938,0.169813,24.733
0.010958,0.162929,25.281
0.010979,0.108897,25.424
0.011,0.02107,24.289
0.011021,-0.082403,25.259
0.011042,-0.139146,24.328
0.011062,-0.13706,25.12
0.011083,-0.096172,25.367
0.011104,-0.046313,25.019
0.011125,-0.000834,24.616
0.011146,0.032753,24.824
0.011167,0.04819,24.922
0.011188,0.064045,24.945
0.011208,0.057161,24.939
0.011229,0.007302,24.967
0.01125,-0.064254,25.064
0.011271,-0.12809,24.637
0.011292,-0.159382,24.927
0.011312,-0.14457,25.455
0.011333,-0.089913,24.885
0.011354,-0.022322,24.867
0.011375,0.03463,25.323
0.011396,0.07677,24.232
0.011417,0.108897,25.354
0.011438,0.120788,24.81
0.011458,0.092834,25.049
0.011479,0.027954,25.029
0.0115,-0.071764,25.283
0.011521,-0.141233,24.92
0.011542,-0.137686,24.797
0.011562,-0.106394,25.389
0.011583,-0.040054,24.291
0.011604,0.025034,25.006
0.011625,0.081569,24.596
0.011646,0.147908,24.772
0.011667,0.173985,25.603
0.011688,0.167101,24.987
0.011708,0.109314,25.059
0.011729,0.01356,24.466
0.01175,-0.050485,24.781
0.011771,-0.074893,25.059
0.011792,-0.055492,25.106
0.011812,-0.028372,25.185
0.011833,0.009805,25.003
0.011854,0.056535,25.158
0.011875,0.068634,25.136
0.011896,0.096589,24.451
0.011917,0.099927,25.011
0.011938,0.062793,25.23
0.011958,0.006467,25.177
0.011979,-0.065088,24.891
0.012,-0.074684,24.758
0.012021,-0.060916,24.665
0.012042,-0.035465,24.961
0.012062,0.016481,25.34
0.012083,0.054449,24.414
0.012104,0.098675,24.802
0.012125,0.1356,24.658
0.012146,0.153332,25.235
0.012167,0.134557,24.834
0.012188,0.07385,24.859
0.012208,0.022739,24.935
0.012229,-0.015646,25.134
0.01225,-0.022948,24.882
0.012271,-0.00605,24.086
0.012292,0.007719,25.163
0.012312,0.02712,25.132
0.012333,0.051319,24.934
0.012354,0.094294,24.675
0.012375,0.120788,25.106
0.012396,0.111609,25.114
0.012417,0.084698,24.859
0.012438,0.017315,24.935
0.012458,-0.042766,24.721
0.012479,-0.061124,24.946
0.0125,-0.040263,24.535
0.012521,0.002295,25.125
0.012542,0.0121,24.717
0.012562,0.019401,25.071
0.012583,0.041097,24.578
0.012604,0.05278,24.823
0.012625,0.04673,24.967
0.012646,0.014812,24.502
0.012667,-0.033587,25.035
0.012688,-0.086784,24.886
0.012708,-0.111401,24.477
0.012729,-0.084698,24.609
0.01275,-0.045478,25.182
0.012771,-0.023365,25.269
0.012792,-0.019818,24.96
0.012812,-0.001669,25.121
0.012833,0.035673,25.067
0.012854,0.063419,25.099
0.012875,0.093251,25.386
0.012896,0.061124,24.548
0.012917,-0.009388,25.203
0.012938,-0.035047,24.885
0.012958,-0.03171,24.933
0.012979,0.009388,24.909
0.013,0.038594,24.887
0.013021,0.050694,24.632
0.013042,0.067383,25.055
0.013062,0.066131,25.501
0.013083,0.084072,24.983
0.013104,0.097632,25.0
0.013125,0.073224,24.794
0.013146,0.008136,24.965
0.013167,-0.062585,25.14
0.013188,-0.086367,24.889
0.013208,-0.065297,24.864
0.013229,-0.021279,25.121
0.01325,0.014186,24.725
0.013271,0.028372,25.076
0.013292,0.032753,25.246
0.013312,0.048816,25.408
0.013333,0.076979,24.973
0.013354,0.077188,25.41
0.013375,0.028163,25.31
0.013396,-0.030041,24.701
0.013417,-0.064254,24.635
0.013438,-0.071764,24.909
0.013458,-0.050276,25.309
0.013479,-0.040889,24.978
0.0135,-0.053823,24.82
0.013521,-0.049859,25.466
0.013542,-0.017524,25.086
0.013562,0.030249,24.304
0.013583,0.078648,25.095
0.013604,0.102222,25.156
0.013625,0.065714,25.068
0.013646,0.009596,25.135
0.013667,-0.017524,24.98
0.013688,-0.012517,24.604
0.013708,0.002503,24.889
0.013729,0.013143,24.716
0.01375,0.028163,24.72
0.013771,0.049233,24.621
0.013792,0.099301,25.136
0.013812,0.15375,25.029
0.013833,0.174402,24.866
0.013854,0.12809,24.805
0.013875,0.02858,24.993
0.013896,-0.049442,25.324
0.013917,-0.082612,24.399
0.013938,-0.073641,25.113
0.013958,-0.059247,24.836
0.013979,-0.044435,24.435
0.014,-0.010431,24.416
0.014021,0.027746,24.726
0.014042,0.080526,25.066
0.014062,0.117033,25.118
0.014083,0.09346,24.718
0.014104,0.028163,25.305
0.014125,-0.050902,25.427
0.014146,-0.09951,25.119
0.014167,-0.094294,24.823
0.014188,-0.07531,25.337
0.014208,-0.065297,25.227
0.014229,-0.047564,25.26
0.01425,-0.011265,24.803
0.014271,0.044852,24.15
0.014292,0.08595,25.635
0.014312,0.090748,24.517
0.014333,0.060707,24.989
0.014354,0.00897,25.714
0.014375,-0.017524,25.099
0.014396,-0.020653,25.285
0.014417,-0.017315,24.549
0.014438,-0.01356,24.467
0.014458,-0.006676,24.84
0.014479,0.016689,25.327
0.0145,0.051111,24.896
0.014521,0.101596,24.762
0.014542,0.152081,25.059
0.014562,0.139146,25.325
0.014583,0.073015,24.567
0.014604,-0.001252,24.637
0.014625,-0.049859,24.763
0.014646,-0.064879,25.328
0.014667,-0.081151,25.07
0.014688,-0.080317,25.64
0.014708,-0.073433,25.281
0.014729,-0.05883,24.989
0.01475,-0.005424,25.38
0.014771,0.063628,25.063
0.014792,0.081777,24.789
0.014812,0.042349,25.204
0.014833,-0.001669,24.791
0.014854,-0.052154,24.913
0.014875,-0.071138,25.398
0.014896,-0.069052,24.97
0.014917,-0.079691,24.759
0.014938,-0.060916,24.861
0.014958,-0.036925,25.307
0.014979,0.008553,24.834
0.015,0.06321,24.884
0.015021,0.077396,24.847
0.015042,0.074058,25.055
0.015062,0.024199,24.884
0.015083,-0.014812,24.519
0.015104,-0.020653,24.734
0.015125,-0.016481,24.72
0.015146,-0.000209,25.373
0.015167,-0.016481,25.244
0.015188,-0.020027,25.176
0.015208,-0.010431,24.848
0.015229,0.00751,24.755
0.01525,0.03171,24.848
0.015271,0.027954,24.684
0.015292,0.011057,25.749
0.015312,-0.016063,24.326
0.015333,-0.025034,25.169
0.015354,-0.015646,24.615
0.015375,-0.007927,24.969
0.015396,-0.011891,24.704
0.015417,-0.035465,24.647
0.015438,-0.03463,24.658
0.015458,-0.004381,25.526
0.015479,0.029415,24.96
0.0155,0.059873,24.77
0.015521,0.059664,25.167
0.015542,0.044018,25.003
0.015562,0.02712,25.216
0.015583,-0.005007,24.453
0.015604,-0.009805,25.091
0.015625,-0.013143,25.232
0.015646,-0.030249,24.502
0.015667,-0.02712,25.134
0.015688,-0.003546,25.509
0.015708,0.061333,24.996
0.015729,0.110566,25.246
0.01575,0.113278,25.201
0.015771,0.076145,24.788
0.015792,0.028789,25.012
0.015812,0.018775,24.53
0.015833,0.033587,24.865
0.015854,0.045687,25.08
0.015875,0.01961,25.217
0.015896,0.003755,25.007
0.015917,0.011891,25.216
0.015938,0.040263,24.669
0.015958,0.075102,24.969
0.015979,0.068217,25.006
0.016,0.052988,25.555
0.016021,0.01961,24.936
0.016042,-0.000209,24.85
0.016062,0.003964,25.006
0.016083,0.002086,24.724
0.016104,0.006258,25.058
0.016125,-0.014186,24.89
0.016146,-0.027746,24.463
0.016167,-0.019818,24.982
0.016188,0.009596,24.905
0.016208,0.038594,24.51
0.016229,0.025242,24.98
0.01625,0.007927,25.447
0.016271,-0.014812,25.156
0.016292,-0.027329,25.184
0.016312,-0.010639,24.598
0.016333,0.005841,25.143
0.016354,0.011891,25.045
0.016375,-0.010014,25.159
0.016396,-0.017524,25.127
0.016417,0.01815,24.592
0.016438,0.048816,24.988
0.016458,0.064254,24.773
0.016479,0.042766,24.985
0.0165,0.009179,24.731
0.016521,-0.017106,25.394
0.016542,-0.038177,24.742
0.016562,-0.026911,24.73
0.016583,-0.035673,25.022
0.016604,-0.056118,24.677
0.016625,-0.059038,24.873
0.016646,-0.042558,24.751
0.016667,-0.003755,25.423
0.016688,0.020444,25.236
0.016708,0.03317,24.983
0.016729,0.025868,24.883
0.01675,0.006676,25.282
0.016771,0.007093,25.122
0.016792,0.005215,25.149
0.016812,-0.015646,24.992
0.016833,-0.061959,24.494
0.016854,-0.113904,24.966
0.016875,-0.116616,24.84
0.016896,-0.084489,25.194
0.016917,-0.037968,25.304
0.016938,0.00751,24.803
0.016958,0.02858,25.141
0.016979,0.04214,25.521
0.017,0.053197,24.8
0.017021,0.056952,25.505
0.017042,0.045478,24.744
0.017062,0.019818,25.007
0.017083,-0.010014,24.997
0.017104,-0.019401,25.003
0.017125,-0.006676,24.749
0.017146,0.034839,24.823
0.017167,0.077188,24.8
0.017188,0.080734,25.098
0.017208,0.074267,25.099
0.017229,0.06175,25.668
0.01725,0.062376,25.411
0.017271,0.074893,24.847
0.017292,0.073433,25.097
0.017312,0.065297,25.299
0.017333,0.046104,25.009
0.017354,0.03317,24.979
0.017375,0.037551,25.015
0.017396,0.033796,25.26
0.017417,0.034213,24.746
0.017438,0.043809,24.902
0.017458,0.052571,25.141
0.017479,0.064462,25.093
0.0175,0.079691,25.072
0.017521,0.078648,24.889
0.017542,0.024408,25.292
0.017562,-0.039846,25.64
0.017583,-0.065297,25.122
0.017604,-0.056743,24.942
0.017625,-0.016481,25.227
0.017646,0.022113,24.838
0.017667,0.059455,24.775
0.017688,0.080526,25.01
0.017708,0.086784,24.225
0.017729,0.114321,24.654
0.01775,0.114738,24.896
0.017771,0.077188,24.594
0.017792,0.002086,24.69
0.017812,-0.06321,24.869
0.017833,-0.074267,24.507
0.017854,-0.065505,24.878
0.017875,-0.018775,24.839
0.017896,0.010014,25.008
0.017917,0.020236,25.346
0.017938,0.056326,25.052
0.017958,0.070512,25.006
0.017979,0.081777,25.03
0.018,0.051528,25.068
0.018021,-0.016063,24.695
0.018042,-0.071346,24.966
0.018062,-0.12058,25.093
0.018083,-0.09951,24.589
0.018104,-0.063419,25.26
0.018125,-0.030249,25.324
0.018146,-0.000417,24.811
0.018167,0.001669,24.928
0.018188,0.027746,24.737
0.018208,0.020236,25.21
0.018229,0.016063,24.682
0.01825,-0.004172,24.933
0.018271,-0.074893,24.742
0.018292,-0.116616,25.015
0.018312,-0.131636,24.462
0.018333,-0.084489,25.398
0.018354,-0.036299,24.711
0.018375,-0.016898,25.018
0.018396,0.023782,24.936
0.018417,0.065714,24.771
0.018438,0.11453,24.734
0.018458,0.127881,25.281
0.018479,0.108689,24.842
0.0185,0.04214,25.081
0.018521,-0.058204,24.76
0.018542,-0.093877,24.806
0.018562,-0.086993,25.142
0.018583,-0.035465,25.279
0.018604,0.035465,24.947
0.018625,0.07385,24.573
0.018646,0.116616,25.599
0.018667,0.149577,24.743
0.018688,0.165223,24.538
0.018708,0.139981,25.778
0.018729,0.062793,24.879
0.01875,-0.013769,24.561
0.018771,-0.074893,24.795
0.018792,-0.07677,25.11
0.018812,-0.034004,25.057
0.018833,0.02253,24.744
0.018854,0.095129,25.547
0.018875,0.133931,24.844
0.018896,0.156462,24.645
0.018917,0.161468,25.288
0.018938,0.142276,25.399
0.018958,0.092208,24.755
0.018979,0.0,24.58
0.019,-0.082612,25.309
0.019021,-0.121831,24.386
0.019042,-0.085115,24.632
0.019062,-0.009596,25.29
0.019083,0.068009,24.983
0.019104,0.133931,24.921
0.019125,0.176697,25.106
0.019146,0.206738,24.954
0.019167,0.188588,24.61
0.019188,0.154375,25.383
0.019208,0.102013,25.398
0.019229,0.01356,25.062
0.01925,-0.034839,25.014
0.019271,-0.04068,25.702
0.019292,0.002086,24.917
0.019312,0.058412,24.922
0.019333,0.093877,25.109
0.019354,0.133305,25.441
0.019375,0.144362,25.478
0.019396,0.145822,24.922
0.019417,0.122249,25.092
0.019438,0.063419,24.587
0.019458,-0.011682,24.906
0.019479,-0.092417,24.748
0.0195,-0.122666,24.698
0.019521,-0.10994,25.504
0.019542,-0.056118,24.762
0.019562,0.010848,24.841
0.019583,0.064045,25.11
0.019604,0.118076,25.389
0.019625,0.132054,25.144
0.019646,0.097841,25.828
0.019667,0.039846,24.978
0.019688,-0.053614,25.078
0.019708,-0.149577,25.083
0.019729,-0.198185,25.431
0.01975,-0.183999,25.152
0.019771,-0.119745,24.965
0.019792,-0.05883,24.716
0.019812,0.001878,25.073
0.019833,0.050694,25.42
0.019854,0.083655,24.877
0.019875,0.098049,25.159
0.019896,0.058412,25.074
0.019917,-0.011891,25.259
0.019938,-0.101596,24.759
0.019958,-0.150829,25.704
0.019979,-0.143945,24.616
0.02,-0.111192,24.89
0.020021,-0.057578,25.281
0.020042,-0.011891,25.089
0.020062,0.028789,25.249
0.020083,0.045895,24.851
0.020104,0.060707,24.978
0.020125,0.066966,25.004
0.020146,0.018984,25.471
0.020167,-0.060498,25.207
0.020188,-0.140815,25.239
